question,answer
Come posso vedere i prezzi Carta PRO online se mi sono registrato in negozio?,"Se ti sei registrato a Carta PRO in un negozio Tecnomat e desideri accedere ai prezzi riservati online, è sufficiente seguire questi semplici passaggi:crea un Account sul sitoVai sul sito Tecnomat e clicca suRegistrati.compila i campi richiestiUtilizza la stessa email e partita Iva che hai usato per ottenere Carta PRO in negozio.scopri subito vantaggi e prezzi riservati.Per ulteriori dettagli sulla Carta PRO e i suoi vantaggi, puoi consultare lapagina dedicata."
Chi può richiedere Carta PRO?,"La Carta PRO può essere ottenuta datutti i professionisti con partita Iva.Se non l’hai ancora fatto,segui questi semplici passaggied effettua la tua richiesta. Una volta attivata, potrai accedere a numerosi vantaggi:prezzi riservati: sconti esclusivi su tantissimi prodottiformazioni dedicate: accesso a webinar per i professionistiutilizzo online e in negozio: la tua Carta PRO è utilizzabile ovunque."
Quali sono i vantaggi di Carta PRO?,"LaCarta PROoffre numerosivantaggi esclusiviper iprofessionisti con partita Iva.Carta PRO è la cartagratuitae informato digitaleche permette ti dà diritto a diversi vantaggi:prezzi riservatisull'acquisto di oltre 5.000 prodotti delle migliori marcheformazioni esclusiveutilizzabile in tutti i negozi e online.Puoi sottoscriverla in negozio, all'Accoglienza, o subito online sul nostro sito.Vuoi registrarti a Carta PRO sul sito?Se sei un cliente con partita IVA e sei già registrato sul sito Tecnomat puoi sottoscrivere Carta PRO e ottenere subito online prezzi dedicati sull'acquisto di 5.000 prodotti delle migliori marche.Fai logininserendo la tua email e passwordSe non hai un account, registrati scegliendo il profilo professionista e compila tutti i dati. Controlla sempre che i dati che inserisci siano corretti perché li utilizziamo per inviarti comunicazioni relative al tuo ordine, alla consegna e alla fatturazione.iscrivitia Carta PROriceviil tuo codice Carta PRO via emailscoprionline iprezzi e i prodottidedicatiacquista onlinee ottieni tutti i vantaggi.Per ulteriori informazioni consulta lapagina Carta PRO."
Come posso richiedere la Carta PRO di Tecnomat?,"Carta PROè la cartagratuitae in formato digitale, riservata aiprofessionisti con partita Ivache può essere utilizzata online e in tutti i negozi Tecnomat.Puoi sottoscriverla attraverso 2 modalità:online, comodamente da casain negozio, presso l'Accoglienza.Vuoi registrarti a Carta PRO sul sito?Se sei un cliente con partita IVA e sei già registrato sul sito Tecnomat puoi sottoscrivere Carta PRO e ottenere subito online prezzi dedicati sull'acquisto di 5.000 prodotti delle migliori marche.Fai logininserendo la tua email e passwordSe non hai un account, registrati scegliendo il profilo professionista e compila tutti i dati. Controlla sempre che i dati che inserisci siano corretti perché li utilizziamo per inviarti comunicazioni relative al tuo ordine, alla consegna e alla fatturazione.iscrivitia Carta PROriceviil tuo codice Carta PRO via emailscoprionline iprezzi e i prodottidedicatiacquista onlinee ottieni tutti i vantaggi.Per ulteriori informazioni consulta lapagina Carta PRO."
Come riconosco i prodotti Carta PRO?,"Carta PROè la cartariservata ai professionisti con partita Iva, utilizzabile online e in tutti i negozi.È possibile riconoscere i prodotti e i prezzi Carta PRO sia sul sito Tecnomat sia in negozio, scopri come:Carta PRO onlineScopri i prodotti Carta PROI prodotti che hanno prezzi riservati Carta PRO sono identificati con la caratteristicaAvicina al prezzo, visibile sia nella lista dei prodotti o direttamente nella pagina dedicata all'articolo.accedi al tuo profilo PRO, scopri i prezzi e acquista.Vai allapagina di logine accedi per vedere i prezzi riservati. Se non hai ancora un account PRO, registrati con la tua partita Iva e sottoscrivi Carta PRO. Controlla sempre che i dati che inserisci siano corretti perché li utilizziamo per inviarti comunicazioni relative al tuo ordine, alla consegna e alla fatturazione.Carta PRO in negozioScopri i prodottiI prodotti Carta PRO sonoidentificati con una ""A""cerchiata sul cartello o sull'etichetta del prodotto.accedi con il tuo profilo PRO o registratiVai allapagina di logine accedi o registrati. Se non hai un account,registratiscegliendo il profilo professionista e compila tutti i dati. Controlla sempre che i dati che inserisci siano corretti perché li utilizziamo per inviarti comunicazioni relative al tuo ordine, alla consegna e alla fatturazione.scopri i prezzi e acquista.Per conoscere il prezzo dedicato, inquadra con il tuo smartphone il codice a barre del prodotto tramite lafunzione SCANche trovi sulla barra di ricerca.Per scoprire di più, consultala pagina Carta PRO."
Posso utilizzare Carta PRO per gli acquisti online?,"UtilizzareCarta PROper i tuoiacquisti onlineè facile e veloce, segui questi semplici passaggi per scoprire ed ottenere i prezzi dedicati.Scopri i prodotti Carta PROI prodotti che hanno i prezzi riservati Carta PRO sono identificati con la caratteristicaAvicina al prezzo, visibile nella lista dei prodotti o direttamente nella pagina dell'articolo.accedi al tuo profilo PRO e scopri i prezziVai alla pagina dilogine accedi per vedere i prezzi riservati. Se non hai ancora un account PRO,registratisubito con la tua partita Iva e sottoscrivi Carta PRO.acquista online.Hai Carta PRO e vuoi registrarti sul sito?Se sei un cliente con partita Iva e hai la Carta PRO, puoi registrarti al sito Tecnomat e ottenere subito online i prezzi dedicati sull'acquisto di oltre 5.000 prodotti delle migliori marche.Accedi a Login/Registrazione, registrati e ricevi subito una email di confermaRicordati di utilizzare la stessa partita Iva e la stessa email utilizzata per l'iscrizione a Carta PROscopri online i prezzi e i prodotti dedicatiacquista online e ottieni tutti i vantaggi.Per scoprire di più, consulta lapagina Carta PRO."
La Carta PRO è solo digitale?,"Sì, la Carta PRO esiste solo in formato digitale: puoi visualizzarlaaccedendoal sito Tecnomat con il tuo account personale. In alternativa, puoi trovare il codice della tua Carta PRO nella email di conferma che ti abbiamo inviato.Tecnomat ha scelto questa soluzione per due ragioni principali:facilità d'usoLa Carta PRO digitale è più semplice da utilizzare, sia nei negozi sia online: basta avere con te il tuo smartphone.sostenibilità.Il formato digitale contribuisce a salvaguardare l'ambiente diminuendo l’uso della plastica."
Cosa posso fare se non vedo i prezzi riservati Carta PRO?,"Se non visualizzi i prezzi dedicati Carta PRO sul sito di Tecnomat, potrebbe trattarsi di un problema tecnico temporaneo.Ti consigliamo di attendere il giorno successivo e seguire questi semplici passaggi:esci dal tuo accountVai sul sito Tecnomat, clicca sul tuo profilo in alto a destra e seleziona l'opzione Logout.rientra nel tuo account.Effettua nuovamente il Login inserendo le tue credenziali.Se il problema persiste,contatta il nostro servizio clientiper ulteriore assistenza."
Che cos'è PROLAB?,"PROLABè il Laboratorio dei Professionisti di Tecnomat,uno spazio virtuale per la formazione e l’approfondimento sui prodottiriservato ai titolari di partita Iva e Carta PRO.In PROLAB potrai partecipare a tantissimiwebinar gratuiti, ciascuno organizzatoin collaborazione con i migliori branddel settore come Daikin, Bticino, Grohe e tanti altri.Gli eventi sono disponibili interamente online e potrai seguirli da pc, tablet o telefono.Per iscriverti a uno dei webinar gratuiti ti basta:essere un professionista con partita Ivaavere un dispositivo e una connessione internetaccedereoregistrartial sito di Tecnomat.Vai sul sito Tecnomate scopri tutti i prossimi appuntamenti in agenda!"
Come posso registrarmi sul sito Tecnomat?,"Per effettuare un acquisto online sul sito Tecnomat ènecessario essere registrati.Puoi farlo in qualsiasi momento e in pochi semplici passaggi:vaisul sito Tecnomataccedia Login/Registrazionecrea il tuo account, scegli tra privato e professionista e compila tutti i datiControlla sempre chei dati che inserisci siano correttiperché li utilizziamo per inviarti comunicazioni relative al tuo ordine, alla consegna e alla fatturazione.riceviuna emaildi avvenuta registrazione quando la procedura è completa.Sei un professionista registrato sul sito e vuoi registrarti a Carta PRO?Se sei un cliente con partita Iva e sei già registrato sul sito Tecnomat, puoi sottoscrivere Carta PRO e ottenere direttamente online prezzi riservati sull'acquisto di oltre 5.000 prodotti delle migliori marche.Accedia Login/Registrazioneinserendo la tua email e passwordiscrivitia Carta PROricevi una emailcon il tuo codice Carta PROscoprionline iprezzi e i prodottidedicatiacquista onlinee ottieni tutti i vantaggi.Hai Carta PRO e vuoi registrarti sul sito?Se sei un cliente con partita Iva e hai la Carta PRO, puoi registrarti al sito Tecnomat e ottenere direttamente online i prezzi riservati sull'acquisto di oltre 5.000 prodotti delle migliori marche.Accedia Login/Registrazione,registrati e ricevi subito una email di confermaRicordati di utilizzare la stessa email e partita Iva utilizzata per l'iscrizione a Carta PROscoprionline iprezzi e i prodottidedicatiacquista onlinee ottieni tutti i vantaggi."
Come posso cancellare i miei dati?,"Puoi sempre decidere di cancellare i tuoi dati,Contatta il servizio clientiper poter procedere.Se hai un ordine in corso, ti consigliamo di attendere finché l'ordine non è completato e consegnato.Per conoscere tutte le informazioni sul trattamento dei dati consulta lapagina privacydel nostro sito."
Posso creare un promemoria online?,Puoicreare la lista dei prodotti che vuoi acquistareutilizzando la funzione promemoria.Registrati al sitoe prepara il tuo elenco in quattro semplici passaggi:Vai sul sitoTecnomat escegli il negozioin cui creare il promemoriaclicca sul simbolo del cuore 🤍 peraggiungere un prodottoseleziona un promemoriao creane uno nuovocontinua a scegliere einserisci i prodotti nella lista.Nella sezionePromemoria e Preordinidella tua Area personale puoi sempre trovare le tue liste e decidere di stamparle oconvertirle in un ordine online.Fai attenzione al negozio in cui crei il promemoria.
Come posso recuperare la password?,"Puoi recuperare la tua password dimenticata in qualsiasi momento, in tre semplici passaggi:Vai sul sito TecnomataccediaLogin/Registrazioneclicca su ""Hai dimenticato la password?"" e segui le indicazioni per impostare una nuova password.Inserisci il tuo indirizzo email e clicca procedi per ricevere un link attivo 24 ore. Il link può essere utilizzare una sola volta; inserisci la nuova password ed utilizzarla per accedere alla tua Area personale.Se non hai dimenticato la password, madesideri semplicemente cambiarla, puoi farlo nella tua Area personale nella sezione ""Dati personali""."
Come posso iscrivermi o cancellare l'iscrizione alla newsletter?,"Perrimanere sempre aggiornatoe non perderti le novità, visita il nostro sito oiscriviti alla newsletter Tecnomat.Sei uncliente già registratoal sito?L'iscrizione o la cancellazione alla newsletter può sempre esseremodificata nella tua Area personalenella sezione ""Newsletter, notifiche e privacy"".Sei uncliente non registrato?Puoiiscriverti alla nostra newsletterdallapagina dedicatao dalla sezione che trovi in fondo a tutte le pagine del sito.Perannullare l'iscrizionee non ricevere più comunicazioni da Tecnomat devi prendere l'ultima newsletter che hai ricevuto e cliccare sul link che trovi in fondo alla pagina."
Posso eliminare il mio account Tecnomat?,Per eliminare il tuo accountContattacieindica l'emaildel profilo che vuoi cancellare.
